title,author,year,link
"Wetenschap en praktijk: gids voor (aankomende) professionals in zorg, welzijn en sociaal werk",Kim Bul,2021,https://pureportal.coventry.ac.uk/en/publications/wetenschap-en-praktijk-gids-voor-aankomende-professionals-in-zorg
A Mobile Phone Intervention to Improve Obesity-Related Health Behaviors of Adolescents Across Europe: Iterative Co-Design and Feasibility Study,Kim Bul,2020,https://pureportal.coventry.ac.uk/en/publications/a-mobile-phone-intervention-to-improve-obesity-related-health-beh
From development to exploitation of digital health solutions: Lessons learnt through multidisciplinary research and consultancy,Kim Bul,2020,https://pureportal.coventry.ac.uk/en/publications/from-development-to-exploitation-of-digital-health-solutions-less
Board Games for Health: A Systematic Literature Review and Meta-Analysis,Kim Bul,2019,https://pureportal.coventry.ac.uk/en/publications/board-games-for-health-a-systematic-literature-review-and-meta-an
Large expert-curated database for benchmarking document similarity detection in biomedical literature search,Kim Bul,2019,https://pureportal.coventry.ac.uk/en/publications/large-expert-curated-database-for-benchmarking-document-similarit
A serious game for children with Attention Deficit Hyperactivity Disorder: Who benefits the most?,Kim Bul,2018,https://pureportal.coventry.ac.uk/en/publications/a-serious-game-for-children-with-attention-deficit-hyperactivity-
BTS conference - Using the Japanese KJ Ho method as a qualitative creative problem solving technique to address clinicians’ and young kidney transplant patients’ needs concerning treatment,Kim Bul,2018,https://pureportal.coventry.ac.uk/en/publications/bts-conference-using-the-japanese-kj-ho-method-as-a-qualitative-c
Design and Evaluation of a Pervasive Coaching and Gamification Platform for Young Diabetes Patients,Kim Bul,2018,https://pureportal.coventry.ac.uk/en/publications/design-and-evaluation-of-a-pervasive-coaching-and-gamification-pl
TTS conference - Using the Japanese KJ Ho method as a qualitative creative problem solving technique to address clinicians’ and young kidney transplant patients’ needs concerning treatment,Kim Bul,2018,https://pureportal.coventry.ac.uk/en/publications/tts-conference-using-the-japanese-kj-ho-method-as-a-qualitative-c
Promoting healthy adolescent lifestyles through serious games: Enacting a multidisciplinary approach,Kim Bul,2017,https://pureportal.coventry.ac.uk/en/publications/promoting-healthy-adolescent-lifestyles-through-serious-games-ena
Behavioral Outcome Effects of Serious Gaming as an Adjunct to Treatment for Children With Attention-Deficit/Hyperactivity Disorder: A Randomized Controlled Trial,Kim Bul,2016,https://pureportal.coventry.ac.uk/en/publications/behavioral-outcome-effects-of-serious-gaming-as-an-adjunct-to-tre-2
Let them play:  Experiences in the wild with a gamification and coaching system for young diabetes patients,Kim Bul,2016,https://pureportal.coventry.ac.uk/en/publications/let-them-play-experiences-in-the-wild-with-a-gamification-and-coa
PERGAMON: A serious game and digital coaching platform supporting patients and healthcare professionals: A serious game and digital coaching platform supporting patients and healthcare professionals,Kim Bul,2016,https://pureportal.coventry.ac.uk/en/publications/pergamon-a-serious-game-and-digital-coaching-platform-supporting-
Translating open data to educational minigames,Kim Bul,2016,https://pureportal.coventry.ac.uk/en/publications/translating-open-data-to-educational-minigames-2
"Development and User Satisfaction of “Plan-It Commander,” a Serious Game for Children with ADHD",Kim Bul,2015,https://pureportal.coventry.ac.uk/en/publications/development-and-user-satisfaction-of-plan-it-commander-a-serious--2
ADHD is a risk factor for overweight and obesity in children.,Kim Bul,2013,https://pureportal.coventry.ac.uk/en/publications/adhd-is-a-risk-factor-for-overweight-and-obesity-in-children
Behavior problems in relation to sustained selective attention skills of moderately preterm children.,Kim Bul,2012,https://pureportal.coventry.ac.uk/en/publications/behavior-problems-in-relation-to-sustained-selective-attention-sk
Needs of parents and carers of children and young people with mental health difficulties:  protocol for a systematic review,Dania Dahmash,2023,https://pureportal.coventry.ac.uk/en/publications/needs-of-parents-and-carers-of-children-and-young-people-with-men
Characterization of the Structural and Functional Alteration in Eyes with Diabetic Macular Ischemia,Sarega Gurudas,2023,https://pureportal.coventry.ac.uk/en/publications/characterization-of-the-structural-and-functional-alteration-in-e
Development and validation of predictive risk models for sight threatening diabetic retinopathy in patients with type 2 diabetes to be applied as triage tools in resource limited settings,Sarega Gurudas,2022,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-predictive-risk-models-for-sight-th
Multicenter Evaluation of Diagnostic Circulating Biomarkers to Detect Sight-Threatening Diabetic Retinopathy,Sarega Gurudas,2022,https://pureportal.coventry.ac.uk/en/publications/multicenter-evaluation-of-diagnostic-circulating-biomarkers-to-de
Development and validation of resource-driven risk prediction models for incident chronic kidney disease in type 2 diabetes,Sarega Gurudas,2021,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-resource-driven-risk-prediction-mod
Ethnic disparities in the development of sight-threatening diabetic retinopathy in a uk multi-ethnic population with diabetes: An observational cohort study,Sarega Gurudas,2021,https://pureportal.coventry.ac.uk/en/publications/ethnic-disparities-in-the-development-of-sight-threatening-diabet
Diabetic retinopathy environment-wide association study (EWAS) in NHANES 2005–2008,Sarega Gurudas,2020,https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-environment-wide-association-study-ewas-in-n
Prevalence and incidence of visual impairment in patients with proliferative diabetic retinopathy in India,Sarega Gurudas,2020,https://pureportal.coventry.ac.uk/en/publications/prevalence-and-incidence-of-visual-impairment-in-patients-with-pr
IDF Diabetes Atlas: A review of studies utilising retinal photography on the global prevalence of diabetes related retinopathy between 2015 and 2018,Sarega Gurudas,2019,https://pureportal.coventry.ac.uk/en/publications/idf-diabetes-atlas-a-review-of-studies-utilising-retinal-photogra
"Effect of police enforcement and extreme social inequalities on violence and mental health among women who sell sex: findings from a cohort study in London, UK",Kathleen Hill,2022,https://pureportal.coventry.ac.uk/en/publications/effect-of-police-enforcement-and-extreme-social-inequalities-on-v
The Effect of Systemic Racism and Homophobia on Police Enforcement and Sexual and Emotional Violence among Sex Workers in East London: Findings from a Cohort Study,Kathleen Hill,2022,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-systemic-racism-and-homophobia-on-police-enforcemen
Kicking goals: Exploring the experiences of girls who play Australian Rules football,Alethea Gabriel Jerebine,2022,https://pureportal.coventry.ac.uk/en/publications/kicking-goals-exploring-the-experiences-of-girls-who-play-austral
"“ All the fun stuff, the teachers say, ‘that’s dangerous! ’” Hearing from children on safety and risk in active play in schools:  a systematic review",Alethea Gabriel Jerebine,2022,https://pureportal.coventry.ac.uk/en/publications/all-the-fun-stuff-the-teachers-say-thats-dangerous-hearing-from-c
“Children are precious cargo; we don’t let them take any risks!”: Hearing from adults on safety and risk in children’s active play in schools: a systematic review,Alethea Gabriel Jerebine,2022,https://pureportal.coventry.ac.uk/en/publications/children-are-precious-cargo-we-dont-let-them-take-any-risks-heari
Evaluating the implementation and customer acceptability of a sugar-sweetened beverage reduction initiative in thirty Australian aquatic and recreation centres,Alethea Gabriel Jerebine,2021,https://pureportal.coventry.ac.uk/en/publications/evaluating-the-implementation-and-customer-acceptability-of-a-sug
"Retailer-led healthy pricing interventions: A pilot study within aquatic and recreation centres in Victoria, Australia",Alethea Gabriel Jerebine,2021,https://pureportal.coventry.ac.uk/en/publications/retailer-led-healthy-pricing-interventions-a-pilot-study-within-a
Change in drink purchases in 16 Australian recreation centres following a sugar-sweetened beverage reduction initiative: An observational study,Alethea Gabriel Jerebine,2020,https://pureportal.coventry.ac.uk/en/publications/change-in-drink-purchases-in-16-australian-recreation-centres-fol
Recreation centre managers' perceptions of pricing interventions to promote healthy eating,Alethea Gabriel Jerebine,2020,https://pureportal.coventry.ac.uk/en/publications/recreation-centre-managers-perceptions-of-pricing-interventions-t
A phantom study of a protective trolley for neonatal radiographic imaging: new equipment to protect the operator from scatter radiation,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/a-phantom-study-of-a-protective-trolley-for-neonatal-radiographic
Cerebral Hemodynamics Underlying Artery-to-Artery Embolism in Symptomatic Intracranial Atherosclerotic Disease,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/cerebral-hemodynamics-underlying-artery-to-artery-embolism-in-sym
Early diagnosis of coronary microvascular dysfunction by myocardial contrast stress echocardiography,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/early-diagnosis-of-coronary-microvascular-dysfunction-by-myocardi
Effect of Filtering on Pulse Wave Transit Time Measured by Photoplethysmography,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/effect-of-filtering-on-pulse-wave-transit-time-measured-by-photop
Effect of intracranial pressure on photoplethysmographic waveform in different cerebral perfusion territories: A computational study,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/effect-of-intracranial-pressure-on-photoplethysmographic-waveform
Efficacy assessment of superficial temporal artery-middle cerebral artery bypass surgery in treating moyamoya disease from a hemodynamic perspective: a pilot study using computational modeling and perfusion imaging,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/efficacyassessment-of-superficial-temporal-artery-middle-cerebral
Hospitalization Patient Forecasting Based on Multi–Task Deep Learning,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/hospitalization-patient-forecasting-based-on-multitask-deep-learn
Leadless pacemaker implantation and azygos continuation in the inferior vena cava: a case description,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/leadless-pacemaker-implantation-and-azygos-continuation-in-the-in
Predictive Value of CT Perfusion in Hemorrhagic Transformation after Acute Ischemic Stroke: A Systematic Review and Meta-Analysis,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/predictive-value-of-ct-perfusion-in-hemorrhagic-transformation-af
Real-Time Evaluation of Time-Domain Pulse Rate Variability Parameters in Different Postures and Breathing Patterns Using Wireless Photoplethysmography Sensor: Towards Remote Healthcare in Low-Resource Communities,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/real-time-evaluation-of-time-domain-pulse-rate-variability-parame
Risk stratification in symptomatic intracranial atherosclerotic disease with conventional vascular risk factors and cerebral haemodynamics,Haipeng Liu,2023,https://pureportal.coventry.ac.uk/en/publications/risk-stratification-in-symptomatic-intracranial-atherosclerotic-d
A preliminary observation on rod cell photobiomodulation in treating diabetic macular edema,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/a-preliminary-observation-on-rod-cell-photobiomodulation-in-treat
A Wearable Swallowing Recognition System Based on Motion and Dual Photoplethysmography Sensing of Laryngeal Movements,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/a-wearable-swallowing-recognition-system-based-on-motion-and-dual
Case Report: New Application of a Gufoni Maneuver Variation for Apogeotropic Lateral Semicircular Canal Benign Paroxysmal Positional Vertigo,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/case-report-new-application-of-a-gufoni-maneuver-variation-for-ap
Changes of oscillogram envelope maximum with blood pressure and aging: a quantitative observation,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/changes-of-oscillogram-envelope-maximum-with-blood-pressure-and-a
Effect of microcirculatory dysfunction on coronary hemodynamics: A pilot study based on computational fluid dynamics simulation,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/effect-of-microcirculatory-dysfunction-on-coronary-hemodynamics-a
Effects of stent shape on focal hemodynamics in intracranial atherosclerotic stenosis: A simulation study with computational fluid dynamics modeling,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/effects-of-stent-shape-on-focal-hemodynamics-in-intracranial-athe
Fine-Grained Assessment of COVID-19 Severity Based on Clinico-Radiological Data Using Machine Learning,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/fine-grained-assessment-of-covid-19-severity-based-on-clinico-rad
Index of microcirculatory resistance: state-of-the-art and potential applications in computational simulation of coronary artery disease,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/index-of-microcirculatory-resistance-state-of-the-art-and-potenti
Multiple Participants’ Discrete Activity Recognition in a Well-Controlled Environment Using Universal Software Radio Peripheral Wireless Sensing,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/multiple-participants-discrete-activity-recognition-in-a-well-con
Neural Entrainment to Rhythms of Imagined Syllables,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/neural-entrainment-to-rhythms-of-imagined-syllables
Photoplethysmography temporal marker-based machine learning classifier for anesthesia drug detection,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-temporal-marker-based-machine-learning-class
Potential risk factors of persistent postural-perceptual dizziness: a pilot study,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/potential-risk-factors-of-persistent-postural-perceptual-dizzines
Reliable Detection of Myocardial Ischemia Using Machine Learning Based on Temporal-Spatial Characteristics of Electrocardiogram and Vectorcardiogram,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/reliable-detection-of-myocardial-ischemia-using-machine-learning-
Uterus Modeling from Cell to Organ Level: towards Better Understanding of Physiological Basis of Uterine Activity,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/uterus-modeling-from-cell-to-organ-level-towards-better-understan
Validation of Computational Simulation for Tumor-treating Fields with Homogeneous Phantom,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/validation-of-computational-simulation-for-tumor-treating-fields-
基于社区移动医疗的心律失常筛查方案真实世界研究,Haipeng Liu,2022,https://pureportal.coventry.ac.uk/en/publications/%E5%9F%BA%E4%BA%8E%E7%A4%BE%E5%8C%BA%E7%A7%BB%E5%8A%A8%E5%8C%BB%E7%96%97%E7%9A%84%E5%BF%83%E5%BE%8B%E5%A4%B1%E5%B8%B8%E7%AD%9B%E6%9F%A5%E6%96%B9%E6%A1%88%E7%9C%9F%E5%AE%9E%E4%B8%96%E7%95%8C%E7%A0%94%E7%A9%B6
Clinical Evaluation of Respiratory Rate Measurements on COPD (Male) Patients Using Wearable Inkjet-Printed Sensor,Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/clinical-evaluation-of-respiratory-rate-measurements-on-copd-male
Clinical evaluation of stretchable and wearable inkjet-printed strain gauge sensor for respiratory rate monitoring at different measurements locations,Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/clinical-evaluation-of-stretchable-and-wearable-inkjet-printed-st
Comparison of Newtonian and Non-newtonian Fluid Models in Blood Flow Simulation in Patients With Intracranial Arterial Stenosis,Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/comparison-of-newtonian-and-non-newtonian-fluid-models-in-blood-f
Consistency in Geometry Among Coronary Atherosclerotic Plaques Extracted From Computed Tomography Angiography,Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/consistency-in-geometry-among-coronary-atherosclerotic-plaques-ex
"Corrigendum: Comparison of Newtonian and Non-newtonian Fluid Models in Blood Flow Simulation in Patients With Intracranial Arterial Stenosis (Front. Physiol., (2021), 12, (718540), 10.3389/fphys.2021.718540)",Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/corrigendum-comparison-of-newtonian-and-non-newtonian-fluid-model
Deep learning based photoplethysmography classification for peripheral arterial disease detection: a proof-of-concept study,Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-photoplethysmography-classification-for-perip
Extraction of Coronary Atherosclerotic Plaques From Computed Tomography Imaging: A Review of Recent Methods,Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/extraction-of-coronary-atherosclerotic-plaques-from-computed-tomo
Filtering-induced time shifts in photoplethysmography pulse features measured at different body sites: the importance of filter definition and standardization,Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/filtering-induced-time-shifts-in-photoplethysmography-pulse-featu
"Response by Lan et al to Letter Regarding Article, “Regional High Wall Shear Stress Associated With Stenosis Regression in Symptomatic Intracranial Atherosclerotic Disease”",Haipeng Liu,2021,https://pureportal.coventry.ac.uk/en/publications/response-by-lan-et-al-to-letter-regarding-article-regional-high-w
Clinical evaluation of stretchable and wearable inkjet-printed strain gauge sensor for respiratory rate monitoring at different body postures,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/clinical-evaluation-of-stretchable-and-wearable-inkjet-printed-st-2
Comparison of different modulations of photoplethysmography in extracting respiratory rate: from a physiological perspective,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/comparison-of-different-modulations-of-photoplethysmography-in-ex
Cuffless Blood Pressure Estimation Using Single Channel Photoplethysmography: A Two-Step Method,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/cuffless-blood-pressure-estimation-using-single-channel-photoplet
Dataset on Blood Flow and Instantaneous Wave-free Ratio in Normal and Stenosed Coronary Arteries,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/dataset-on-blood-flow-and-instantaneous-wave-free-ratio-in-normal
Effect of microcirculatory resistance on coronary blood flow and instantaneous wave-free ratio: A computational study,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/effect-of-microcirculatory-resistance-on-coronary-blood-flow-and-
Influences of Sensor Placement Site and Subject Posture on Measurement of Respiratory Frequency Using Triaxial Accelerometers,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/influences-of-sensor-placement-site-and-subject-posture-on-measur
Microaneurysms detection in color fundus images using machine learning based on directional local contrast,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/microaneurysms-detection-in-color-fundus-images-using-machine-lea
Regional High Wall Shear Stress Associated With Stenosis Regression in Symptomatic Intracranial Atherosclerotic Disease,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/regional-high-wall-shear-stress-associated-with-stenosis-regressi
Significance of considering respiratory movement in estimating sleep stage,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/significance-of-considering-respiratory-movement-in-estimating-sl
State-of-the-Art Computational Models of Circle of Willis With Physiological Applications: A Review,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/state-of-the-art-computational-models-of-circle-of-willis-with-ph
Sustaining cerebral perfusion in intracranial atherosclerotic stenosis: The roles of antegrade residual flow and leptomeningeal collateral flow,Haipeng Liu,2020,https://pureportal.coventry.ac.uk/en/publications/sustaining-cerebral-perfusion-in-intracranial-atherosclerotic-ste
Fabrication and Evaluation of a Novel Non-Invasive Stretchable and Wearable Respiratory Rate Sensor Based on Silver Nanoparticles Using Inkjet Printing Technology,Haipeng Liu,2019,https://pureportal.coventry.ac.uk/en/publications/fabrication-and-evaluation-of-a-novel-non-invasive-stretchable-an
Hemodynamics and stroke risk in intracranial atherosclerotic disease,Haipeng Liu,2019,https://pureportal.coventry.ac.uk/en/publications/hemodynamics-and-stroke-risk-in-intracranial-atherosclerotic-dise
Preliminary Study on the Efficient Electrohysterogram Segments for Recognizing Uterine Contractions with Convolutional Neural Networks,Haipeng Liu,2019,https://pureportal.coventry.ac.uk/en/publications/preliminary-study-on-the-efficient-electrohysterogram-segments-fo
Cardiovascular implications and physical activity in middle-aged and older adults with a history of COVID-19 (CV COVID): a protocol for a randomised controlled trial,Helen Maddock,2023,https://pureportal.coventry.ac.uk/en/publications/cardiovascular-implications-and-physical-activity-in-middle-aged-
Development of a novel low-order model for atrial function and a study of atrial mechano-electric feedback,Helen Maddock,2023,https://pureportal.coventry.ac.uk/en/publications/development-of-a-novel-low-order-model-for-atrial-function-and-a-
Profiling the Biomechanical Responses to Workload on the Human Myocyte to Explore the Concept of Myocardial Fatigue and Reversibility: Rationale and Design of the POWER Heart Failure Study,Helen Maddock,2023,https://pureportal.coventry.ac.uk/en/publications/profiling-the-biomechanical-responses-to-workload-on-the-human-my
Validity and reliability of short‐term heart‐rate variability from disposable electrocardiography leads,Helen Maddock,2023,https://pureportal.coventry.ac.uk/en/publications/validity-and-reliability-of-shortterm-heartrate-variability-from-
Diagnostic miRNAs for therapy-induced cardiovascular injury,Helen Maddock,2022,https://pureportal.coventry.ac.uk/en/publications/diagnostic-mirnas-for-therapy-induced-cardiovascular-injury
Metformin protects against sunitinib-induced cardiotoxicity: Investigating the role of AMPK,Helen Maddock,2022,https://pureportal.coventry.ac.uk/en/publications/metformin-protects-against-sunitinib-induced-cardiotoxicity-inves
Myocardial Fatigue: a Mechano-energetic Concept in Heart Failure,Helen Maddock,2022,https://pureportal.coventry.ac.uk/en/publications/myocardial-fatigue-a-mechano-energetic-concept-in-heart-failure
Anti-cancer therapy leads to increased cardiovascular susceptibility to COVID-19,Helen Maddock,2021,https://pureportal.coventry.ac.uk/en/publications/anti-cancer-therapy-leads-to-increased-cardiovascular-susceptibil
Understanding the future research needs in Postural Orthostatic Tachycardia Syndrome (POTS): Evidence mapping the POTS adult literature.,Helen Maddock,2021,https://pureportal.coventry.ac.uk/en/publications/understanding-the-future-research-needs-in-postural-orthostatic-t
The cardiac work-loop technique: An in vitro model for identifying and profiling drug-induced changes in inotropy using rat papillary muscles,Helen Maddock,2020,https://pureportal.coventry.ac.uk/en/publications/the-cardiac-work-loop-technique-an-in-vitro-model-for-identifying
Ageing alters the severity of Sunitinib-induced cardiotoxicity: Investigating the mitogen activated kinase kinase 7 pathway association,Helen Maddock,2019,https://pureportal.coventry.ac.uk/en/publications/ageing-alters-the-severity-of-sunitinib-induced-cardiotoxicity-in
Cardiac stunning during haemodialysis: the therapeutic effect of intra-dialytic exercise,Helen Maddock,2019,https://pureportal.coventry.ac.uk/en/publications/cardiac-stunning-during-hemodialysis-the-therapeutic-effect-of-in
Physiological work-loop contractions using isolated myocytes,Helen Maddock,2019,https://pureportal.coventry.ac.uk/en/publications/physiological-work-loop-contractions-using-isolated-myocytes
The cardiac work-loop technique to assess drug-induced changes in cardiac contractility,Helen Maddock,2019,https://pureportal.coventry.ac.uk/en/publications/the-cardiac-work-loop-technique-to-assess-drug-induced-changes-in
Development of an in vitro platform using the human primary cardiomyocyte work loop assay to screen for drug-induced effects on cardiac contractility,Helen Maddock,2018,https://pureportal.coventry.ac.uk/en/publications/development-of-an-in-vitro-platform-using-the-human-primary-cardi
Investigating the Cardioprotective role of Metformin during Sunitinib-induced Cardiotoxicity by qRT-PCR profiling of microRNAs associated with myocardial injury,Helen Maddock,2018,https://pureportal.coventry.ac.uk/en/publications/investigating-the-cardioprotective-role-of-metformin-during-sunit
Involvement of mitogen activated kinase kinase 7 intracellular signalling pathway in Sunitinib-induced cardiotoxicity,Helen Maddock,2018,https://pureportal.coventry.ac.uk/en/publications/involvement-of-mitogen-activated-kinase-kinase-7-intracellular-si
"The 10th Biennial Hatter Cardiovascular Institute workshop: cellular protection—evaluating new directions in the setting of myocardial infarction, ischaemic stroke, and cardio-oncology",Helen Maddock,2018,https://pureportal.coventry.ac.uk/en/publications/the-10th-biennial-hatter-cardiovascular-institute-workshop-cellul
Attenuation of Sunitinib-induced cardiotoxicity through the A3 adenosine receptor activation,Helen Maddock,2017,https://pureportal.coventry.ac.uk/en/publications/attenuation-of-sunitinib-induced-cardiotoxicity-through-the-a3-ad
Predictivity of in vitro non-clinical cardiac contractility assays for inotropic effects in humans – A Literature Search,Helen Maddock,2015,https://pureportal.coventry.ac.uk/en/publications/predictivity-of-in-vitro-non-clinical-cardiac-contractility-assay-2
Caspase inhibition via A3 adenosine receptors: A new cardioprotective mechanism against myocardial infarction,Helen Maddock,2014,https://pureportal.coventry.ac.uk/en/publications/caspase-inhibition-via-a3-adenosine-receptors-a-new-cardioprotect-2
Investigation into the cardiotoxic effects of doxorubicin on contractile function and the protection afforded by cyclosporin A using the work-loop assay,Helen Maddock,2014,https://pureportal.coventry.ac.uk/en/publications/investigation-into-the-cardiotoxic-effects-of-doxorubicin-on-cont-2
Ipratropium Bromide-Mediated Myocardial Injury in In Vitro Models of Myocardial Ischaemia/Reperfusion,Helen Maddock,2014,https://pureportal.coventry.ac.uk/en/publications/ipratropium-bromide-mediated-myocardial-injury-in-in-vitro-models-2
Molecular basis of cancer-therapy-induced cardiotoxicity: Introducing microRNA biomarkers for early assessment of subclinical myocardial injury,Helen Maddock,2014,https://pureportal.coventry.ac.uk/en/publications/molecular-basis-of-cancer-therapy-induced-cardiotoxicity-introduc-2
Attenuation of doxorubicin-induced cardiotoxicity by mdivi-1: a mitochondrial division/mitophagy inhibitor,Helen Maddock,2013,https://pureportal.coventry.ac.uk/en/publications/attenuation-of-doxorubicin-induced-cardiotoxicity-by-mdivi-1-a-mi-2
Doxorubicin induced myocardial injury is exacerbated following ischaemic stress via opening of the mitochondrial permeability transition pore,Helen Maddock,2013,https://pureportal.coventry.ac.uk/en/publications/doxorubicin-induced-myocardial-injury-is-exacerbated-following-is-2
Assays for screening drug safety,Helen Maddock,2012,https://pureportal.coventry.ac.uk/en/publications/assays-for-screening-drug-safety
Paradigm shifts in cardioprotection research: the importance of the MPTP as a therapeutic target,Helen Maddock,2012,https://pureportal.coventry.ac.uk/en/publications/paradigm-shifts-in-cardioprotection-research-the-importance-of-th-2
Effects of hydrogen sulphide on the isolated perfused rat heart,Helen Maddock,2011,https://pureportal.coventry.ac.uk/en/publications/effects-of-hydrogen-sulphide-on-the-isolated-perfused-rat-heart-2
Translational research – on the brink of a major revolution Chapter 7 “Working Together”,Helen Maddock,2010,https://pureportal.coventry.ac.uk/en/publications/translational-research-on-the-brink-of-a-major-revolution-chapter-2
The role of nitric oxide in A3 adenosine receptor-mediated cardioprotection,Helen Maddock,2009,https://pureportal.coventry.ac.uk/en/publications/the-role-of-nitric-oxide-in-a3-adenosine-receptor-mediated-cardio-2
A3 adenosine receptors protects the myocardium via recruitment of PI3K-AKT-INOS cell survival pathway,Helen Maddock,2008,https://pureportal.coventry.ac.uk/en/publications/a3-adenosine-receptors-protects-the-myocardium-via-recruitment-of-2
Caspase inhibitors induce PI3 kinase mediated myocardial protection during early reperfusion,Helen Maddock,2008,https://pureportal.coventry.ac.uk/en/publications/caspase-inhibitors-induce-pi3-kinase-mediated-myocardial-protecti-2
Cardioprotective activity of novel Khellin analogues,Helen Maddock,2004,https://pureportal.coventry.ac.uk/en/publications/cardioprotective-activity-of-novel-khellin-analogues-2
Cardioprotective effects of selected novel amides,Helen Maddock,2004,https://pureportal.coventry.ac.uk/en/publications/cardioprotective-effects-of-selected-novel-amides-2
Myocardial protection from either ischaemic preconditioning or nicorandil is not blocked by gliclazide,Helen Maddock,2004,https://pureportal.coventry.ac.uk/en/publications/myocardial-protection-from-either-ischaemic-preconditioning-or-ni
Myocardial protection via A3 adenosine receptors is mediated via PI3-kinase and P42/44 dependent pathways,Helen Maddock,2004,https://pureportal.coventry.ac.uk/en/publications/myocardial-protection-via-a3-adenosine-receptors-is-mediated-via--3
"Protection from myocardial stunning by ischaemia and hypoxia with the adenosine A3 receptor agonist, IB-MECA",Helen Maddock,2003,https://pureportal.coventry.ac.uk/en/publications/protection-from-myocardial-stunning-by-ischaemia-and-hypoxia-with
The cardioprotective and mitochondrial depolarising properties of exogenous nitric oxide in mouse heart,Helen Maddock,2003,https://pureportal.coventry.ac.uk/en/publications/the-cardioprotective-and-mitochondrial-depolarising-properties-of
Adenosine A(3) receptor activation protects the myocardium from reperfusion/reoxygenation injury,Helen Maddock,2002,https://pureportal.coventry.ac.uk/en/publications/adenosine-a3-receptor-activation-protects-the-myocardium-from-rep-2
Adenosine A3 receptor activation protects the myocardium from reperfusion/reoxygenation injury,Helen Maddock,2002,https://pureportal.coventry.ac.uk/en/publications/adenosine-a3-receptor-activation-protects-the-myocardium-from-rep-3
Effects of adenosine receptor agonists on guinea-pig isolated working hearts and the role of endothelium and NO,Helen Maddock,2002,https://pureportal.coventry.ac.uk/en/publications/effects-of-adenosine-receptor-agonists-on-guinea-pig-isolated-wor-2
Inhibiting mitochondrial permeability transition pore opening: A new paradigm for myocardial preconditioning?,Helen Maddock,2002,https://pureportal.coventry.ac.uk/en/publications/inhibiting-mitochondrial-permeability-transition-pore-opening-a-n-2
"Glimepiride, a novel sulfonylurea, does not abolish myocardial protection afforded by either ischemic preconditioning or diazoxide",Helen Maddock,2001,https://pureportal.coventry.ac.uk/en/publications/glimepride-a-novel-sulfonylurea-does-not-abolish-myocardial-prote-2
